First Name,Last Name,Member,Car Type,Car Manufacturer,Car Number
John,Smith,Y,Sedan,Toyota,ABC-1234
Sarah,Johnson,Y,SUV,Honda,123-DEF
Michael,Brown,Y,Coupe,Tesla,GH1-234
Emily,Davis,Y,Convertible,BMW,5678-AB
David,Wilson,Y,Sedan,Toyota,XY9-876
Lisa,Anderson,Y,SUV,Ford,PQR-2345
Robert,Taylor,Y,Sports Car,Chevrolet,789-STU
Jennifer,Thomas,Y,Sedan,Honda,VW2-012
William,Jackson,Y,Coupe,Tesla,YZA-4567
Jessica,White,Y,SUV,Toyota,BCD-8901
Christopher,Harris,Y,Convertible,BMW,34E-567
Amanda,Martin,Y,Sedan,Ford,HIJ-6789
Matthew,Garcia,Y,Sports Car,Chevrolet,890-KLM
Ashley,Rodriguez,Y,SUV,Honda,NO5-456
Daniel,Lewis,Y,Coupe,Tesla,QRS-8901
Stephanie,Lee,Y,Sedan,Toyota,TU7-234
Kevin,Walker,Y,Convertible,BMW,WXY-6789
Michelle,Hall,Y,SUV,Ford,123-ZAB
Ryan,Allen,Y,Sports Car,Chevrolet,CDE-4567
Nicole,Young,Y,Sedan,Honda,FG8-901
Mark,King,N,Sedan,Nissan,IJK-2345
Rachel,Wright,N,SUV,Hyundai,567-LMN
Andrew,Lopez,N,Coupe,Kia,OP9-012
Lauren,Hill,N,Sedan,Mazda,RST-4567
Jonathan,Green,N,SUV,Subaru,UV0-890
Samantha,Adams,Y,Wagon,Toyota,XYZ-2345
Brandon,Baker,Y,Sedan,Honda,AB1-678
Megan,Gonzalez,Y,Hatchback,Ford,234-DEF
Tyler,Nelson,Y,Wagon,Chevrolet,GH5-456
Brittany,Carter,Y,Crossover,Tesla,JKL-8901
Sujoy,Abraham,Y,Van,Toyota,MN6-123
